tran_id	gene_id	transLen	counts	FPKM	Psi	Psi_low	Psi_high
ENSG00000170100.9.in	ENSG00000170100.9	303	0.000e+00	0.000e+00	0.988	0.908	1.000
ENSG00000170100.9.out	ENSG00000170100.9	176	0.000e+00	0.000e+00	0.012	0.000	0.092
ENSG00000101363.8.in	ENSG00000101363.8	405	6.591e-01	2.637e-01	0.210	0.003	0.704
ENSG00000101363.8.out	ENSG00000101363.8	166	1.341e+00	1.309e+00	0.790	0.302	0.997
ENSG00000002746.10.in	ENSG00000002746.10	632	0.000e+00	0.000e+00	0.247	0.000	0.915
ENSG00000002746.10.out	ENSG00000002746.10	397	0.000e+00	0.000e+00	0.753	0.085	1.000
ENSG00000163867.12.in	ENSG00000163867.12	510	7.825e+00	2.487e+00	0.960	0.718	1.000
ENSG00000163867.12.out	ENSG00000163867.12	260	1.751e-01	1.092e-01	0.040	0.000	0.282
ENSG00000113889.7.in	ENSG00000113889.7	366	0.000e+00	0.000e+00	0.862	0.201	1.000
ENSG00000113889.7.out	ENSG00000113889.7	258	0.000e+00	0.000e+00	0.138	0.000	0.835
ENSG00000169136.4.in	ENSG00000169136.4	720	1.258e-01	2.831e-02	0.051	0.000	0.257
ENSG00000169136.4.out	ENSG00000169136.4	555	1.874e+00	5.473e-01	0.949	0.754	1.000
ENSG00000159063.8.in	ENSG00000159063.8	398	4.747e-01	1.933e-01	0.014	0.000	0.072
ENSG00000159063.8.out	ENSG00000159063.8	323	2.753e+01	1.381e+01	0.986	0.928	1.000
ENSG00000048740.13.in	ENSG00000048740.13	514	2.344e+00	7.391e-01	0.747	0.110	1.000
ENSG00000048740.13.out	ENSG00000048740.13	370	6.559e-01	2.873e-01	0.253	0.000	0.890
ENSG00000167977.4.in	ENSG00000167977.4	297	0.000e+00	0.000e+00	0.942	0.632	1.000
ENSG00000167977.4.out	ENSG00000167977.4	205	0.000e+00	0.000e+00	0.058	0.000	0.368
ENSG00000203910.4.in	ENSG00000203910.4	430	0.000e+00	0.000e+00	0.058	0.000	0.378
ENSG00000203910.4.out	ENSG00000203910.4	199	0.000e+00	0.000e+00	0.942	0.622	1.000
ENSG00000168137.11.in	ENSG00000168137.11	776	2.640e+00	5.514e-01	0.196	0.001	0.974
ENSG00000168137.11.out	ENSG00000168137.11	719	1.036e+01	2.335e+00	0.804	0.026	0.999
ENSG00000125046.10.in	ENSG00000125046.10	310	0.000e+00	0.000e+00	0.343	0.006	0.993
ENSG00000125046.10.out	ENSG00000125046.10	188	0.000e+00	0.000e+00	0.657	0.007	0.995
ENSG00000123146.15.in	ENSG00000123146.15	435	0.000e+00	0.000e+00	0.750	0.010	0.996
ENSG00000123146.15.out	ENSG00000123146.15	303	0.000e+00	0.000e+00	0.250	0.004	0.990
ENSG00000258168.1.in	ENSG00000258168.1	238	0.000e+00	0.000e+00	0.571	0.003	0.990
ENSG00000258168.1.out	ENSG00000258168.1	171	0.000e+00	0.000e+00	0.429	0.010	0.997
ENSG00000179915.16.in	ENSG00000179915.16	1810	5.147e-02	4.609e-03	0.016	0.000	0.152
ENSG00000179915.16.out	ENSG00000179915.16	1711	2.949e+00	2.793e-01	0.984	0.849	1.000
ENSG00000139287.8.in	ENSG00000139287.8	282	0.000e+00	0.000e+00	0.233	0.000	0.852
ENSG00000139287.8.out	ENSG00000139287.8	222	0.000e+00	0.000e+00	0.767	0.148	1.000
ENSG00000104723.16.in	ENSG00000104723.16	429	9.201e+01	3.476e+01	0.944	0.875	0.984
ENSG00000104723.16.out	ENSG00000104723.16	311	3.991e+00	2.080e+00	0.056	0.016	0.125
ENSG00000153885.10.in	ENSG00000153885.10	317	9.680e-02	4.949e-02	0.064	0.002	0.279
ENSG00000153885.10.out	ENSG00000153885.10	192	9.032e-01	7.624e-01	0.936	0.721	0.998
ENSG00000121904.13.in	ENSG00000121904.13	379	0.000e+00	0.000e+00	0.076	0.001	0.433
ENSG00000121904.13.out	ENSG00000121904.13	226	0.000e+00	0.000e+00	0.924	0.567	1.000
ENSG00000101955.10.in	ENSG00000101955.10	496	6.789e+00	2.218e+00	0.955	0.807	0.999
ENSG00000101955.10.out	ENSG00000101955.10	319	2.106e-01	1.070e-01	0.045	0.001	0.194
ENSG00000147439.7.in	ENSG00000147439.7	312	2.369e-01	1.231e-01	0.026	0.000	0.146
ENSG00000147439.7.out	ENSG00000147439.7	199	5.763e+00	4.694e+00	0.974	0.854	1.000
ENSG00000251022.2.in	ENSG00000251022.2	2069	9.074e+00	7.108e-01	0.526	0.136	0.936
ENSG00000251022.2.out	ENSG00000251022.2	1986	7.926e+00	6.468e-01	0.474	0.071	0.865
ENSG00000107099.11.in	ENSG00000107099.11	384	0.000e+00	0.000e+00	0.084	0.000	0.779
ENSG00000107099.11.out	ENSG00000107099.11	268	0.000e+00	0.000e+00	0.916	0.233	1.000
ENSG00000204574.8.in	ENSG00000204574.8	351	3.782e+01	1.746e+01	0.993	0.963	1.000
ENSG00000204574.8.out	ENSG00000204574.8	237	1.813e-01	1.240e-01	0.007	0.000	0.037
ENSG00000123374.6.in	ENSG00000123374.6	477	0.000e+00	0.000e+00	0.790	0.012	0.999
ENSG00000123374.6.out	ENSG00000123374.6	375	0.000e+00	0.000e+00	0.210	0.001	0.989
ENSG00000100796.13.in	ENSG00000100796.13	485	1.581e-01	5.283e-02	0.124	0.000	0.585
ENSG00000100796.13.out	ENSG00000100796.13	329	8.419e-01	4.147e-01	0.876	0.415	1.000
ENSG00000128908.11.in	ENSG00000128908.11	288	4.254e+01	2.394e+01	0.980	0.855	1.000
ENSG00000128908.11.out	ENSG00000128908.11	145	4.638e-01	5.184e-01	0.020	0.000	0.145
ENSG00000181355.16.in	ENSG00000181355.16	491	0.000e+00	0.000e+00	0.527	0.002	0.990
ENSG00000181355.16.out	ENSG00000181355.16	399	0.000e+00	0.000e+00	0.473	0.010	0.998
ENSG00000267470.1.in	ENSG00000267470.1	431	0.000e+00	0.000e+00	0.124	0.000	0.713
ENSG00000267470.1.out	ENSG00000267470.1	301	0.000e+00	0.000e+00	0.876	0.287	1.000
ENSG00000078018.15.in	ENSG00000078018.15	516	3.429e+00	1.077e+00	0.160	0.003	0.636
ENSG00000078018.15.out	ENSG00000078018.15	423	1.557e+01	5.966e+00	0.840	0.373	0.997
ENSG00000204604.5.in	ENSG00000204604.5	3864	1.976e+00	8.289e-02	0.389	0.016	0.861
ENSG00000204604.5.out	ENSG00000204604.5	3746	3.024e+00	1.308e-01	0.611	0.139	0.984
ENSG00000001629.5.in	ENSG00000001629.5	304	1.584e-01	8.447e-02	0.043	0.000	0.309
ENSG00000001629.5.out	ENSG00000001629.5	234	2.842e+00	1.968e+00	0.957	0.707	1.000
ENSG00000253554.1.in	ENSG00000253554.1	218	0.000e+00	0.000e+00	0.435	0.004	0.978
ENSG00000253554.1.out	ENSG00000253554.1	166	0.000e+00	0.000e+00	0.565	0.022	0.996
ENSG00000153113.19.in	ENSG00000153113.19	234	0.000e+00	0.000e+00	0.852	0.072	1.000
ENSG00000153113.19.out	ENSG00000153113.19	150	0.000e+00	0.000e+00	0.148	0.000	0.928
ENSG00000152969.12.in	ENSG00000152969.12	511	0.000e+00	0.000e+00	0.145	0.000	0.720
ENSG00000152969.12.out	ENSG00000152969.12	455	0.000e+00	0.000e+00	0.855	0.281	1.000
ENSG00000164116.12.in	ENSG00000164116.12	535	0.000e+00	0.000e+00	0.123	0.000	0.904
ENSG00000164116.12.out	ENSG00000164116.12	441	0.000e+00	0.000e+00	0.877	0.096	1.000
ENSG00000177294.6.in	ENSG00000177294.6	277	0.000e+00	0.000e+00	0.240	0.001	0.943
ENSG00000177294.6.out	ENSG00000177294.6	217	0.000e+00	0.000e+00	0.760	0.057	1.000
ENSG00000118762.3.in	ENSG00000118762.3	402	2.039e+00	8.220e-01	0.214	0.004	0.967
ENSG00000118762.3.out	ENSG00000118762.3	281	5.961e+00	3.438e+00	0.786	0.048	0.996
ENSG00000138613.9.in	ENSG00000138613.9	362	3.629e-02	1.625e-02	0.031	0.000	0.346
ENSG00000138613.9.out	ENSG00000138613.9	298	9.637e-01	5.241e-01	0.969	0.654	1.000
ENSG00000125686.7.in	ENSG00000125686.7	345	2.575e-01	1.210e-01	0.006	0.000	0.034
ENSG00000125686.7.out	ENSG00000125686.7	186	2.274e+01	1.982e+01	0.994	0.967	1.000
ENSG00000172456.12.in	ENSG00000172456.12	258	0.000e+00	0.000e+00	0.736	0.064	1.000
ENSG00000172456.12.out	ENSG00000172456.12	137	0.000e+00	0.000e+00	0.264	0.000	0.946
ENSG00000143842.10.in	ENSG00000143842.10	929	2.691e+00	4.695e-01	0.876	0.370	1.000
ENSG00000143842.10.out	ENSG00000143842.10	709	3.088e-01	7.059e-02	0.124	0.000	0.630
ENSG00000124782.15.in	ENSG00000124782.15	3874	1.377e+00	5.759e-02	0.683	0.030	1.000
ENSG00000124782.15.out	ENSG00000124782.15	3709	6.235e-01	2.724e-02	0.317	0.000	0.970
ENSG00000146839.14.in	ENSG00000146839.14	485	0.000e+00	0.000e+00	0.573	0.011	0.994
ENSG00000146839.14.out	ENSG00000146839.14	313	0.000e+00	0.000e+00	0.427	0.006	0.989
ENSG00000070081.11.in	ENSG00000070081.11	343	0.000e+00	0.000e+00	0.150	0.000	0.822
ENSG00000070081.11.out	ENSG00000070081.11	239	0.000e+00	0.000e+00	0.850	0.178	1.000
ENSG00000172987.8.in	ENSG00000172987.8	508	0.000e+00	0.000e+00	0.916	0.434	1.000
ENSG00000172987.8.out	ENSG00000172987.8	334	0.000e+00	0.000e+00	0.084	0.000	0.566
ENSG00000132356.7.in	ENSG00000132356.7	458	1.451e+01	5.135e+00	0.960	0.817	1.000
ENSG00000132356.7.out	ENSG00000132356.7	370	4.898e-01	2.145e-01	0.040	0.000	0.183
ENSG00000237773.1.in	ENSG00000237773.1	490	0.000e+00	0.000e+00	0.463	0.005	0.993
ENSG00000237773.1.out	ENSG00000237773.1	348	0.000e+00	0.000e+00	0.537	0.007	0.995
ENSG00000134744.9.in	ENSG00000134744.9	384	0.000e+00	0.000e+00	0.791	0.066	0.999
ENSG00000134744.9.out	ENSG00000134744.9	206	0.000e+00	0.000e+00	0.209	0.001	0.934
