tran_id	gene_id	transLen	counts	FPKM	Psi	Psi_low	Psi_high
ENSG00000170100.9.in	ENSG00000170100.9	303	0.000e+00	0.000e+00	0.924	0.444	1.000
ENSG00000170100.9.out	ENSG00000170100.9	176	0.000e+00	0.000e+00	0.076	0.000	0.556
ENSG00000101363.8.in	ENSG00000101363.8	405	0.000e+00	0.000e+00	0.533	0.003	0.980
ENSG00000101363.8.out	ENSG00000101363.8	166	0.000e+00	0.000e+00	0.467	0.021	0.997
ENSG00000002746.10.in	ENSG00000002746.10	632	0.000e+00	0.000e+00	0.241	0.000	0.897
ENSG00000002746.10.out	ENSG00000002746.10	397	0.000e+00	0.000e+00	0.759	0.103	1.000
ENSG00000163867.12.in	ENSG00000163867.12	510	2.649e+00	6.795e-01	0.819	0.226	0.990
ENSG00000163867.12.out	ENSG00000163867.12	260	3.512e-01	1.767e-01	0.181	0.010	0.774
ENSG00000113889.7.in	ENSG00000113889.7	366	0.000e+00	0.000e+00	0.856	0.028	1.000
ENSG00000113889.7.out	ENSG00000113889.7	258	0.000e+00	0.000e+00	0.144	0.000	0.972
ENSG00000169136.4.in	ENSG00000169136.4	720	1.360e-01	2.472e-02	0.119	0.000	0.799
ENSG00000169136.4.out	ENSG00000169136.4	555	8.640e-01	2.037e-01	0.881	0.209	1.000
ENSG00000159063.8.in	ENSG00000159063.8	398	8.171e+00	2.686e+00	0.081	0.015	0.175
ENSG00000159063.8.out	ENSG00000159063.8	323	7.583e+01	3.072e+01	0.919	0.825	0.985
ENSG00000048740.13.in	ENSG00000048740.13	514	1.928e+00	4.907e-01	0.953	0.646	1.000
ENSG00000048740.13.out	ENSG00000048740.13	370	7.240e-02	2.560e-02	0.047	0.000	0.354
ENSG00000167977.4.in	ENSG00000167977.4	297	2.927e+00	1.289e+00	0.967	0.720	1.000
ENSG00000167977.4.out	ENSG00000167977.4	205	7.334e-02	4.681e-02	0.033	0.000	0.291
ENSG00000203910.4.in	ENSG00000203910.4	430	0.000e+00	0.000e+00	0.084	0.000	0.723
ENSG00000203910.4.out	ENSG00000203910.4	199	0.000e+00	0.000e+00	0.916	0.306	1.000
ENSG00000168137.11.in	ENSG00000168137.11	776	0.000e+00	0.000e+00	0.167	0.000	0.866
ENSG00000168137.11.out	ENSG00000168137.11	719	0.000e+00	0.000e+00	0.833	0.134	1.000
ENSG00000125046.10.in	ENSG00000125046.10	310	0.000e+00	0.000e+00	0.539	0.002	0.983
ENSG00000125046.10.out	ENSG00000125046.10	188	0.000e+00	0.000e+00	0.461	0.017	0.998
ENSG00000123146.15.in	ENSG00000123146.15	435	0.000e+00	0.000e+00	0.745	0.037	0.996
ENSG00000123146.15.out	ENSG00000123146.15	303	0.000e+00	0.000e+00	0.255	0.004	0.965
ENSG00000258168.1.in	ENSG00000258168.1	238	0.000e+00	0.000e+00	0.601	0.010	0.985
ENSG00000258168.1.out	ENSG00000258168.1	171	0.000e+00	0.000e+00	0.399	0.015	0.990
ENSG00000179915.16.in	ENSG00000179915.16	1810	1.421e+00	1.027e-01	0.016	0.000	0.101
ENSG00000179915.16.out	ENSG00000179915.16	1711	8.158e+01	6.238e+00	0.984	0.899	1.000
