tran_id	gene_id	transLen	counts	FPKM	Psi	Psi_low	Psi_high
ENSG00000170100.9.in	ENSG00000170100.9	303	0.000e+00	0.000e+00	0.885	0.453	1.000
ENSG00000170100.9.out	ENSG00000170100.9	176	0.000e+00	0.000e+00	0.115	0.000	0.575
ENSG00000101363.8.in	ENSG00000101363.8	405	2.815e-01	1.487e-01	0.172	0.004	0.865
ENSG00000101363.8.out	ENSG00000101363.8	166	7.185e-01	9.259e-01	0.828	0.158	0.996
ENSG00000002746.10.in	ENSG00000002746.10	632	0.000e+00	0.000e+00	0.116	0.001	0.913
ENSG00000002746.10.out	ENSG00000002746.10	397	0.000e+00	0.000e+00	0.884	0.088	0.999
ENSG00000163867.12.in	ENSG00000163867.12	510	3.595e+00	1.508e+00	0.828	0.540	0.996
ENSG00000163867.12.out	ENSG00000163867.12	260	4.049e-01	3.331e-01	0.172	0.004	0.463
ENSG00000113889.7.in	ENSG00000113889.7	366	0.000e+00	0.000e+00	0.829	0.091	0.998
ENSG00000113889.7.out	ENSG00000113889.7	258	0.000e+00	0.000e+00	0.171	0.002	0.912
ENSG00000169136.4.in	ENSG00000169136.4	720	3.661e-01	1.088e-01	0.102	0.000	0.505
ENSG00000169136.4.out	ENSG00000169136.4	555	2.634e+00	1.015e+00	0.898	0.495	1.000
ENSG00000159063.8.in	ENSG00000159063.8	398	2.731e-01	1.468e-01	0.023	0.000	0.119
ENSG00000159063.8.out	ENSG00000159063.8	323	9.727e+00	6.442e+00	0.977	0.881	1.000
ENSG00000048740.13.in	ENSG00000048740.13	514	0.000e+00	0.000e+00	0.898	0.238	1.000
ENSG00000048740.13.out	ENSG00000048740.13	370	0.000e+00	0.000e+00	0.102	0.000	0.762
ENSG00000167977.4.in	ENSG00000167977.4	297	0.000e+00	0.000e+00	0.953	0.607	1.000
ENSG00000167977.4.out	ENSG00000167977.4	205	0.000e+00	0.000e+00	0.047	0.000	0.394
ENSG00000203910.4.in	ENSG00000203910.4	430	0.000e+00	0.000e+00	0.125	0.000	0.901
ENSG00000203910.4.out	ENSG00000203910.4	199	0.000e+00	0.000e+00	0.875	0.099	1.000
ENSG00000168137.11.in	ENSG00000168137.11	776	2.071e+01	5.711e+00	0.464	0.273	0.725
ENSG00000168137.11.out	ENSG00000168137.11	719	2.229e+01	6.630e+00	0.536	0.275	0.747
ENSG00000125046.10.in	ENSG00000125046.10	310	0.000e+00	0.000e+00	0.448	0.008	0.995
ENSG00000125046.10.out	ENSG00000125046.10	188	0.000e+00	0.000e+00	0.552	0.005	0.992
ENSG00000123146.15.in	ENSG00000123146.15	435	0.000e+00	0.000e+00	0.695	0.014	0.998
ENSG00000123146.15.out	ENSG00000123146.15	303	0.000e+00	0.000e+00	0.305	0.002	0.987
ENSG00000258168.1.in	ENSG00000258168.1	238	0.000e+00	0.000e+00	0.678	0.010	0.998
ENSG00000258168.1.out	ENSG00000258168.1	171	0.000e+00	0.000e+00	0.322	0.002	0.991
ENSG00000179915.16.in	ENSG00000179915.16	1810	9.478e-01	1.120e-01	0.030	0.000	0.282
ENSG00000179915.16.out	ENSG00000179915.16	1711	2.905e+01	3.632e+00	0.970	0.718	1.000
ENSG00000139287.8.in	ENSG00000139287.8	282	0.000e+00	0.000e+00	0.264	0.000	0.951
ENSG00000139287.8.out	ENSG00000139287.8	222	0.000e+00	0.000e+00	0.736	0.057	1.000
ENSG00000104723.16.in	ENSG00000104723.16	429	3.881e+01	1.935e+01	0.960	0.846	0.998
ENSG00000104723.16.out	ENSG00000104723.16	311	1.191e+00	8.193e-01	0.040	0.002	0.154
ENSG00000153885.10.in	ENSG00000153885.10	317	0.000e+00	0.000e+00	0.266	0.000	0.942
ENSG00000153885.10.out	ENSG00000153885.10	192	0.000e+00	0.000e+00	0.734	0.058	1.000
ENSG00000121904.13.in	ENSG00000121904.13	379	2.371e-01	1.338e-01	0.174	0.001	0.658
ENSG00000121904.13.out	ENSG00000121904.13	226	7.629e-01	7.222e-01	0.826	0.342	0.999
ENSG00000101955.10.in	ENSG00000101955.10	496	0.000e+00	0.000e+00	0.839	0.156	0.999
ENSG00000101955.10.out	ENSG00000101955.10	319	0.000e+00	0.000e+00	0.161	0.001	0.849
ENSG00000147439.7.in	ENSG00000147439.7	312	0.000e+00	0.000e+00	0.108	0.000	0.620
ENSG00000147439.7.out	ENSG00000147439.7	199	0.000e+00	0.000e+00	0.892	0.394	1.000
ENSG00000251022.2.in	ENSG00000251022.2	2069	1.396e+00	1.443e-01	0.228	0.001	0.907
ENSG00000251022.2.out	ENSG00000251022.2	1986	4.604e+00	4.959e-01	0.772	0.102	0.999
ENSG00000107099.11.in	ENSG00000107099.11	384	0.000e+00	0.000e+00	0.061	0.000	0.536
ENSG00000107099.11.out	ENSG00000107099.11	268	0.000e+00	0.000e+00	0.939	0.464	1.000
ENSG00000204574.8.in	ENSG00000204574.8	351	1.932e+00	1.177e+00	0.953	0.624	1.000
