tran_id	gene_id	transLen	counts	FPKM	Psi	Psi_low	Psi_high
ENSG00000170100.9.in	ENSG00000170100.9	303	0.000e+00	0.000e+00	0.903	0.370	1.000
ENSG00000170100.9.out	ENSG00000170100.9	176	0.000e+00	0.000e+00	0.097	0.000	0.677
ENSG00000101363.8.in	ENSG00000101363.8	405	8.742e+00	1.922e+00	0.936	0.700	1.000
ENSG00000101363.8.out	ENSG00000101363.8	166	2.581e-01	1.384e-01	0.064	0.000	0.300
ENSG00000002746.10.in	ENSG00000002746.10	632	2.143e+00	3.019e-01	0.631	0.175	0.989
ENSG00000002746.10.out	ENSG00000002746.10	397	8.569e-01	1.922e-01	0.369	0.012	0.825
ENSG00000163867.12.in	ENSG00000163867.12	510	0.000e+00	0.000e+00	0.657	0.046	0.998
ENSG00000163867.12.out	ENSG00000163867.12	260	0.000e+00	0.000e+00	0.343	0.002	0.954
ENSG00000113889.7.in	ENSG00000113889.7	366	0.000e+00	0.000e+00	0.874	0.171	0.999
ENSG00000113889.7.out	ENSG00000113889.7	258	0.000e+00	0.000e+00	0.126	0.001	0.849
ENSG00000169136.4.in	ENSG00000169136.4	720	3.745e-02	4.631e-03	0.030	0.000	0.201
ENSG00000169136.4.out	ENSG00000169136.4	555	9.626e-01	1.544e-01	0.970	0.799	1.000
ENSG00000159063.8.in	ENSG00000159063.8	398	1.111e+01	2.485e+00	0.267	0.110	0.420
ENSG00000159063.8.out	ENSG00000159063.8	323	2.489e+01	6.861e+00	0.733	0.584	0.890
ENSG00000048740.13.in	ENSG00000048740.13	514	0.000e+00	0.000e+00	0.765	0.049	0.999
ENSG00000048740.13.out	ENSG00000048740.13	370	0.000e+00	0.000e+00	0.235	0.001	0.951
ENSG00000167977.4.in	ENSG00000167977.4	297	5.932e+00	1.778e+00	0.984	0.883	1.000
ENSG00000167977.4.out	ENSG00000167977.4	205	6.811e-02	2.958e-02	0.016	0.000	0.124
ENSG00000203910.4.in	ENSG00000203910.4	430	0.000e+00	0.000e+00	0.056	0.000	0.580
ENSG00000203910.4.out	ENSG00000203910.4	199	0.000e+00	0.000e+00	0.944	0.420	1.000
ENSG00000168137.11.in	ENSG00000168137.11	776	2.867e+00	3.289e-01	0.062	0.002	0.176
ENSG00000168137.11.out	ENSG00000168137.11	719	4.013e+01	4.970e+00	0.938	0.824	0.998
ENSG00000125046.10.in	ENSG00000125046.10	310	0.000e+00	0.000e+00	0.261	0.000	0.998
ENSG00000125046.10.out	ENSG00000125046.10	188	0.000e+00	0.000e+00	0.739	0.002	1.000
ENSG00000123146.15.in	ENSG00000123146.15	435	0.000e+00	0.000e+00	0.800	0.099	1.000
ENSG00000123146.15.out	ENSG00000123146.15	303	0.000e+00	0.000e+00	0.200	0.000	0.903
ENSG00000258168.1.in	ENSG00000258168.1	238	0.000e+00	0.000e+00	0.699	0.044	0.999
ENSG00000258168.1.out	ENSG00000258168.1	171	0.000e+00	0.000e+00	0.301	0.001	0.956
ENSG00000179915.16.in	ENSG00000179915.16	1810	1.006e+00	4.948e-02	0.196	0.000	0.901
ENSG00000179915.16.out	ENSG00000179915.16	1711	3.994e+00	2.078e-01	0.804	0.109	1.000
ENSG00000139287.8.in	ENSG00000139287.8	282	0.000e+00	0.000e+00	0.179	0.001	0.885
ENSG00000139287.8.out	ENSG00000139287.8	222	0.000e+00	0.000e+00	0.821	0.115	0.999
ENSG00000104723.16.in	ENSG00000104723.16	429	3.494e+01	7.251e+00	0.960	0.845	0.998
ENSG00000104723.16.out	ENSG00000104723.16	311	1.062e+00	3.039e-01	0.040	0.002	0.157
ENSG00000153885.10.in	ENSG00000153885.10	317	0.000e+00	0.000e+00	0.052	0.000	0.367
ENSG00000153885.10.out	ENSG00000153885.10	192	0.000e+00	0.000e+00	0.948	0.633	1.000
ENSG00000121904.13.in	ENSG00000121904.13	379	1.688e-01	3.965e-02	0.021	0.000	0.126
ENSG00000121904.13.out	ENSG00000121904.13	226	4.831e+00	1.903e+00	0.979	0.874	1.000
ENSG00000101955.10.in	ENSG00000101955.10	496	0.000e+00	0.000e+00	0.715	0.059	0.998
ENSG00000101955.10.out	ENSG00000101955.10	319	0.000e+00	0.000e+00	0.285	0.002	0.941
ENSG00000147439.7.in	ENSG00000147439.7	312	2.390e-01	6.819e-02	0.088	0.001	0.506
ENSG00000147439.7.out	ENSG00000147439.7	199	1.761e+00	7.879e-01	0.912	0.507	0.999
ENSG00000251022.2.in	ENSG00000251022.2	2069	0.000e+00	0.000e+00	0.113	0.000	0.734
ENSG00000251022.2.out	ENSG00000251022.2	1986	0.000e+00	0.000e+00	0.887	0.266	1.000
ENSG00000107099.11.in	ENSG00000107099.11	384	0.000e+00	0.000e+00	0.049	0.000	0.449
ENSG00000107099.11.out	ENSG00000107099.11	268	0.000e+00	0.000e+00	0.951	0.551	1.000
ENSG00000204574.8.in	ENSG00000204574.8	351	1.909e+01	4.843e+00	0.935	0.806	0.993
ENSG00000204574.8.out	ENSG00000204574.8	237	9.068e-01	3.407e-01	0.065	0.007	0.195
ENSG00000123374.6.in	ENSG00000123374.6	477	1.762e+00	3.289e-01	0.860	0.418	0.998
ENSG00000123374.6.out	ENSG00000123374.6	375	2.378e-01	5.647e-02	0.140	0.002	0.585
ENSG00000100796.13.in	ENSG00000100796.13	485	0.000e+00	0.000e+00	0.280	0.006	0.909
ENSG00000100796.13.out	ENSG00000100796.13	329	0.000e+00	0.000e+00	0.720	0.091	0.994
ENSG00000128908.11.in	ENSG00000128908.11	288	0.000e+00	0.000e+00	0.941	0.563	1.000
ENSG00000128908.11.out	ENSG00000128908.11	145	0.000e+00	0.000e+00	0.059	0.000	0.437
ENSG00000181355.16.in	ENSG00000181355.16	491	0.000e+00	0.000e+00	0.417	0.013	0.948
ENSG00000181355.16.out	ENSG00000181355.16	399	0.000e+00	0.000e+00	0.583	0.052	0.987
ENSG00000267470.1.in	ENSG00000267470.1	431	0.000e+00	0.000e+00	0.234	0.000	0.876
ENSG00000267470.1.out	ENSG00000267470.1	301	0.000e+00	0.000e+00	0.766	0.124	1.000
ENSG00000078018.15.in	ENSG00000078018.15	516	1.892e+00	3.265e-01	0.937	0.603	1.000
ENSG00000078018.15.out	ENSG00000078018.15	423	1.080e-01	2.274e-02	0.063	0.000	0.397
ENSG00000204604.5.in	ENSG00000204604.5	3864	1.167e+00	2.689e-02	0.020	0.000	0.095
ENSG00000204604.5.out	ENSG00000204604.5	3746	5.683e+01	1.351e+00	0.980	0.905	1.000
ENSG00000001629.5.in	ENSG00000001629.5	304	0.000e+00	0.000e+00	0.088	0.000	0.537
ENSG00000001629.5.out	ENSG00000001629.5	234	0.000e+00	0.000e+00	0.912	0.481	1.000
ENSG00000253554.1.in	ENSG00000253554.1	218	0.000e+00	0.000e+00	0.244	0.000	0.966
ENSG00000253554.1.out	ENSG00000253554.1	166	0.000e+00	0.000e+00	0.756	0.037	1.000
ENSG00000153113.19.in	ENSG00000153113.19	234	0.000e+00	0.000e+00	0.723	0.047	1.000
ENSG00000153113.19.out	ENSG00000153113.19	150	0.000e+00	0.000e+00	0.277	0.000	0.953
ENSG00000152969.12.in	ENSG00000152969.12	511	0.000e+00	0.000e+00	0.070	0.000	0.539
ENSG00000152969.12.out	ENSG00000152969.12	455	0.000e+00	0.000e+00	0.930	0.461	1.000
ENSG00000164116.12.in	ENSG00000164116.12	535	0.000e+00	0.000e+00	0.194	0.000	0.921
ENSG00000164116.12.out	ENSG00000164116.12	441	0.000e+00	0.000e+00	0.806	0.080	1.000
